layer,rows,cols,significant_rank,significant_rank_ratio,rank1_energy,mean_cos_svd_resultant,group_input_dim,reconstruction_ratio
features.0.0,32,27,6,0.222222,0.266700,0.390851,,
features.1.0.block.0.0,32,9,4,0.444444,0.461504,0.736023,9,1.500342
features.1.0.block.1.fc1,8,32,6,0.750000,0.364899,0.466775,32,1.471708
features.1.0.block.1.fc2,32,8,5,0.625000,0.383041,0.436079,,
features.1.0.block.2.0,16,32,12,0.750000,0.164723,0.183975,32,1.467172
features.2.0.block.0.0,96,16,12,0.750000,0.185792,0.260543,,
features.2.0.block.1.0,96,9,6,0.666667,0.351376,0.579606,9,1.093955
features.2.0.block.2.fc1,4,96,3,0.750000,0.489130,0.478120,96,1.483710
features.2.0.block.2.fc2,96,4,3,0.750000,0.488062,0.476273,,
features.2.0.block.3.0,24,96,17,0.708333,0.102062,0.267493,96,1.259155
features.2.1.block.0.0,144,24,18,0.750000,0.125931,0.252686,24,1.144322
features.2.1.block.1.0,144,9,5,0.555556,0.598439,0.669285,9,1.172400
features.2.1.block.2.fc1,6,144,4,0.666667,0.352268,0.410413,144,1.786242
features.2.1.block.2.fc2,144,6,5,0.833333,0.359882,0.514676,6,2.275173
features.2.1.block.3.0,24,144,18,0.750000,0.123876,0.280536,144,2.193327
features.3.0.block.0.0,144,24,20,0.833333,0.080267,0.226766,24,1.131948
features.3.0.block.1.0,144,25,4,0.160000,0.750238,0.810507,25,1.526595
features.3.0.block.2.fc1,6,144,4,0.666667,0.468407,0.329901,144,2.071339
features.3.0.block.2.fc2,144,6,5,0.833333,0.424691,0.343315,6,1.097366
features.3.0.block.3.0,40,144,32,0.800000,0.051329,0.147514,144,2.232565
features.3.1.block.0.0,240,40,29,0.725000,0.062037,0.199412,40,1.070814
features.3.1.block.1.0,240,25,6,0.240000,0.525879,0.657930,25,1.302174
features.3.1.block.2.fc1,10,240,9,0.900000,0.244047,0.256053,240,2.904497
features.3.1.block.2.fc2,240,10,9,0.900000,0.206637,0.409436,10,1.219045
features.3.1.block.3.0,40,240,29,0.725000,0.071819,0.188164,240,2.194837
features.4.0.block.0.0,240,40,32,0.800000,0.081581,0.231063,40,1.126249
features.4.0.block.1.0,240,9,2,0.222222,0.839409,0.880011,9,1.355317
features.4.0.block.2.fc1,10,240,8,0.800000,0.178855,0.369928,240,2.125559
features.4.0.block.2.fc2,240,10,7,0.700000,0.231607,0.469451,10,1.149589
features.4.0.block.3.0,80,240,60,0.750000,0.030445,0.128890,240,2.077596
features.4.1.block.0.0,480,80,56,0.700000,0.048462,0.146827,80,1.175648
features.4.1.block.1.0,480,9,5,0.555556,0.598116,0.713359,9,1.078077
features.4.1.block.2.fc1,20,480,16,0.800000,0.212275,0.203682,480,2.512107
features.4.1.block.2.fc2,480,20,16,0.800000,0.154474,0.140772,20,1.166191
features.4.1.block.3.0,80,480,58,0.725000,0.045189,0.144061,480,2.585367
features.4.2.block.0.0,480,80,58,0.725000,0.046889,0.177085,80,1.168277
features.4.2.block.1.0,480,9,5,0.555556,0.570909,0.683501,9,1.039480
features.4.2.block.2.fc1,20,480,16,0.800000,0.208723,0.083463,480,2.474884
features.4.2.block.2.fc2,480,20,16,0.800000,0.148001,0.186919,20,1.103413
features.4.2.block.3.0,80,480,59,0.737500,0.040036,0.138959,480,2.600393
features.5.0.block.0.0,480,80,61,0.762500,0.049739,0.177972,80,1.233671
features.5.0.block.1.0,480,25,5,0.200000,0.665206,0.711227,25,1.287028
features.5.0.block.2.fc1,20,480,16,0.800000,0.097367,0.212395,480,2.291083
features.5.0.block.2.fc2,480,20,16,0.800000,0.118017,0.274752,20,1.225935
features.5.0.block.3.0,112,480,87,0.776786,0.024823,0.119157,480,2.550011
features.5.1.block.0.0,672,112,83,0.741071,0.034079,0.139186,112,1.128572
features.5.1.block.1.0,672,25,7,0.280000,0.460004,0.610935,25,1.091940
features.5.1.block.2.fc1,28,672,23,0.821429,0.087675,0.179837,672,2.413998
features.5.1.block.2.fc2,672,28,23,0.821429,0.109124,0.320856,28,1.120917
features.5.1.block.3.0,112,672,83,0.741071,0.047546,0.123747,672,2.458622
features.5.2.block.0.0,672,112,79,0.705357,0.048392,0.155869,112,1.183309
features.5.2.block.1.0,672,25,7,0.280000,0.442153,0.570080,25,1.079903
features.5.2.block.2.fc1,28,672,23,0.821429,0.108864,0.242999,672,2.338920
features.5.2.block.2.fc2,672,28,23,0.821429,0.129978,0.319333,28,1.090136
features.5.2.block.3.0,112,672,81,0.723214,0.044186,0.104287,672,2.461876
features.6.0.block.0.0,672,112,83,0.741071,0.045843,0.179073,112,1.205020
features.6.0.block.1.0,672,25,2,0.080000,0.858558,0.913357,25,1.709209
features.6.0.block.2.fc1,28,672,5,0.178571,0.342407,0.264220,672,1.396528
features.6.0.block.2.fc2,672,28,5,0.178571,0.282071,0.402724,28,1.301474
features.6.0.block.3.0,192,672,155,0.807292,0.011636,0.085618,672,2.453367
features.6.1.block.0.0,1152,192,148,0.770833,0.028679,0.130756,192,1.169334
features.6.1.block.1.0,1152,25,7,0.280000,0.478859,0.634730,25,1.125184
features.6.1.block.2.fc1,48,1152,39,0.812500,0.057009,0.167198,1152,2.504162
features.6.1.block.2.fc2,1152,48,40,0.833333,0.085426,0.258946,48,1.136403
features.6.1.block.3.0,192,1152,149,0.776042,0.024788,0.087575,1152,2.742439
features.6.2.block.0.0,1152,192,146,0.760417,0.032542,0.144772,192,1.153641
features.6.2.block.1.0,1152,25,7,0.280000,0.463731,0.624658,25,1.100560
features.6.2.block.2.fc1,48,1152,40,0.833333,0.046462,0.147731,1152,2.587072
features.6.2.block.2.fc2,1152,48,39,0.812500,0.098740,0.287668,48,1.162163
features.6.2.block.3.0,192,1152,149,0.776042,0.027278,0.087974,1152,2.748580
features.6.3.block.0.0,1152,192,147,0.765625,0.033404,0.148227,192,1.159828
features.6.3.block.1.0,1152,25,8,0.320000,0.488872,0.658668,25,1.123701
features.6.3.block.2.fc1,48,1152,41,0.854167,0.044463,0.155979,1152,2.741877
features.6.3.block.2.fc2,1152,48,40,0.833333,0.124349,0.325651,48,1.144904
features.6.3.block.3.0,192,1152,150,0.781250,0.025243,0.086079,1152,2.765559
features.7.0.block.0.0,1152,192,152,0.791667,0.033445,0.152076,192,1.212540
features.7.0.block.1.0,1152,9,2,0.222222,0.898695,0.954258,9,1.297738
features.7.0.block.2.fc1,48,1152,39,0.812500,0.037760,0.122661,1152,2.562680
features.7.0.block.2.fc2,1152,48,37,0.770833,0.176326,0.396019,48,1.179401
features.7.0.block.3.0,320,1152,263,0.821875,0.019037,0.098145,1152,2.598360
features.8.0,1280,320,266,0.831250,0.012277,0.106057,,
classifier.1,1000,1280,540,0.540000,0.009868,0.083960,,
