layer,rows,cols,significant_rank,significant_rank_ratio,rank1_energy,mean_cos_svd_resultant,group_input_dim,reconstruction_ratio
features.0.0,16,27,7,0.437500,0.262234,0.351539,,
features.1.block.0.0,16,9,4,0.444444,0.442275,0.399576,9,1.642399
features.1.block.1.0,16,16,9,0.562500,0.152735,0.320453,16,1.387200
features.2.block.0.0,64,16,12,0.750000,0.157648,0.329257,16,1.341852
features.2.block.1.0,64,9,6,0.666667,0.460899,0.652338,9,1.073489
features.2.block.2.0,24,64,18,0.750000,0.082059,0.241198,,
features.3.block.0.0,72,24,17,0.708333,0.122723,0.170208,24,1.298776
features.3.block.1.0,72,9,5,0.555556,0.634446,0.679706,9,1.465839
features.3.block.2.0,24,72,16,0.666667,0.129720,0.295537,72,1.831447
features.4.block.0.0,72,24,19,0.791667,0.093653,0.256148,24,1.340459
features.4.block.1.0,72,25,1,0.040000,0.909261,0.909623,25,2.269156
features.4.block.2.fc1,24,72,10,0.416667,0.464495,0.241566,72,1.618979
features.4.block.2.fc2,72,24,6,0.250000,0.642790,0.481723,24,1.363153
features.4.block.3.0,40,72,28,0.700000,0.055123,0.133977,72,1.801038
features.5.block.0.0,120,40,24,0.600000,0.084219,0.131875,40,1.229171
features.5.block.1.0,120,25,5,0.200000,0.510050,0.650283,25,1.300452
features.5.block.2.fc1,32,120,21,0.656250,0.100673,0.190800,120,2.260052
features.5.block.2.fc2,120,32,21,0.656250,0.144866,0.313740,32,1.277374
features.5.block.3.0,40,120,27,0.675000,0.092877,0.238633,120,2.272508
features.6.block.0.0,120,40,23,0.575000,0.108173,0.147323,40,1.211258
features.6.block.1.0,120,25,6,0.240000,0.524113,0.618459,25,1.164411
features.6.block.2.fc1,32,120,20,0.625000,0.103017,0.166739,120,2.341755
features.6.block.2.fc2,120,32,20,0.625000,0.142091,0.305777,32,1.268643
features.6.block.3.0,40,120,25,0.625000,0.082679,0.211671,120,2.208382
features.7.block.0.0,240,40,32,0.800000,0.054488,0.192897,40,1.330672
features.7.block.1.0,240,9,1,0.111111,0.931202,0.947550,9,2.952456
features.7.block.2.0,80,240,59,0.737500,0.028382,0.126009,240,1.376808
features.8.block.0.0,200,80,51,0.637500,0.044305,0.164608,80,1.322422
features.8.block.1.0,200,9,5,0.555556,0.435825,0.548800,9,1.085954
features.8.block.2.0,80,200,51,0.637500,0.074383,0.102642,,
features.9.block.0.0,184,80,48,0.600000,0.054551,0.191954,80,1.337476
features.9.block.1.0,184,9,5,0.555556,0.444839,0.561212,9,1.055315
features.9.block.2.0,80,184,49,0.612500,0.057396,0.161883,184,1.660369
features.10.block.0.0,184,80,46,0.575000,0.057878,0.198078,80,1.331424
features.10.block.1.0,184,9,5,0.555556,0.547935,0.588847,9,1.031196
features.10.block.2.0,80,184,47,0.587500,0.044074,0.158415,184,1.645982
features.11.block.0.0,480,80,63,0.787500,0.034191,0.154617,80,1.305061
features.11.block.1.0,480,9,3,0.333333,0.772383,0.815253,9,1.182713
features.11.block.2.fc1,120,480,74,0.616667,0.045694,0.092884,480,1.656608
features.11.block.2.fc2,480,120,76,0.633333,0.087172,0.276445,120,1.533976
features.11.block.3.0,112,480,87,0.776786,0.026214,0.129167,480,1.734653
features.12.block.0.0,672,112,82,0.732143,0.034900,0.141815,112,1.119481
features.12.block.1.0,672,9,4,0.444444,0.587863,0.683404,9,1.142840
features.12.block.2.fc1,168,672,105,0.625000,0.027748,0.113145,672,2.137376
features.12.block.2.fc2,672,168,105,0.625000,0.174226,0.409285,168,1.198958
features.12.block.3.0,112,672,84,0.750000,0.044947,0.164945,672,2.123871
features.13.block.0.0,672,112,85,0.758929,0.040958,0.168074,112,1.161903
features.13.block.1.0,672,25,2,0.080000,0.882371,0.938490,25,1.350601
features.13.block.2.fc1,168,672,119,0.708333,0.019489,0.099956,672,2.103818
features.13.block.2.fc2,672,168,120,0.714286,0.135273,0.338561,168,1.180282
features.13.block.3.0,160,672,131,0.818750,0.014599,0.093622,672,2.222456
features.14.block.0.0,960,160,121,0.756250,0.028970,0.132822,160,1.151919
features.14.block.1.0,960,25,5,0.200000,0.624485,0.759760,25,1.297589
features.14.block.2.fc1,240,960,170,0.708333,0.015716,0.085747,960,2.221041
features.14.block.2.fc2,960,240,169,0.704167,0.155532,0.382035,240,1.265142
features.14.block.3.0,160,960,123,0.768750,0.030810,0.131862,960,2.213595
features.15.block.0.0,960,160,123,0.768750,0.034855,0.155466,160,1.151374
features.15.block.1.0,960,25,3,0.120000,0.768801,0.828466,25,1.150893
features.15.block.2.fc1,240,960,171,0.712500,0.018477,0.098331,960,2.137392
features.15.block.2.fc2,960,240,159,0.662500,0.179302,0.419104,240,1.283591
features.15.block.3.0,160,960,125,0.781250,0.038818,0.144015,960,2.114004
features.16.0,960,160,126,0.787500,0.104465,0.257899,160,1.222888
classifier.0,1280,960,534,0.556250,0.004323,0.054927,960,1.821552
classifier.3,1000,1280,520,0.520000,0.023277,0.140706,,
