layer,rows,cols,significant_rank,significant_rank_ratio,rank1_energy,mean_cos_svd_resultant,group_input_dim,reconstruction_ratio
conv1,64,147,19,0.296875,0.107676,0.210297,,
layer1.0.conv1,64,576,33,0.515625,0.091654,0.249671,576,2.009847
layer1.0.conv2,64,576,39,0.609375,0.062123,0.169346,576,2.246203
layer1.1.conv1,64,576,40,0.625000,0.090180,0.080263,576,2.033974
layer1.1.conv2,64,576,42,0.656250,0.052570,0.162297,576,2.323278
layer2.0.conv1,128,576,77,0.601562,0.031462,0.131832,576,2.199011
layer2.0.conv2,128,1152,83,0.648438,0.033849,0.092062,1152,2.127936
layer2.0.downsample.0,128,64,30,0.468750,0.089536,0.192546,,
layer2.1.conv1,128,1152,89,0.695312,0.030194,0.110564,1152,2.134267
layer2.1.conv2,128,1152,86,0.671875,0.065906,0.212411,1152,2.136233
layer3.0.conv1,256,1152,136,0.531250,0.033489,0.158325,1152,1.965974
layer3.0.conv2,256,2304,171,0.667969,0.019373,0.100822,2304,2.068484
layer3.0.downsample.0,256,128,74,0.578125,0.041376,0.143142,,
layer3.1.conv1,256,2304,176,0.687500,0.021484,0.124451,2304,2.059312
layer3.1.conv2,256,2304,165,0.644531,0.052845,0.201976,2304,2.056589
layer4.0.conv1,512,2304,290,0.566406,0.031353,0.159028,2304,1.913834
layer4.0.conv2,512,4608,361,0.705078,0.022127,0.129473,4608,1.980645
layer4.0.downsample.0,512,256,131,0.511719,0.029732,0.134392,,
layer4.1.conv1,512,4608,349,0.681641,0.070000,0.255378,4608,1.917389
layer4.1.conv2,512,4608,245,0.478516,0.018421,0.129949,4608,1.766358
fc,1000,512,231,0.451172,0.028905,0.151876,,
