layer,rows,cols,significant_rank,significant_rank_ratio,rank1_energy,mean_cos_svd_resultant,group_input_dim,reconstruction_ratio
features.0.0,96,48,19,0.395833,0.116675,0.198217,,
features.1.0.attn.qkv,288,96,23,0.239583,0.345935,0.394031,96,1.508396
features.1.0.attn.proj,96,96,45,0.468750,0.059406,0.234662,96,1.897264
features.1.0.mlp.0,384,96,45,0.468750,0.139546,0.241865,96,1.609278
features.1.0.mlp.3,96,384,58,0.604167,0.043900,0.149931,384,2.614161
features.1.1.attn.qkv,288,96,49,0.510417,0.071948,0.165728,96,1.598374
features.1.1.attn.proj,96,96,49,0.510417,0.064714,0.133102,96,1.819038
features.1.1.mlp.0,384,96,60,0.625000,0.042179,0.151865,96,1.527527
features.1.1.mlp.3,96,384,53,0.552083,0.056930,0.129860,384,2.531541
features.2.reduction,192,384,125,0.651042,0.019796,0.108633,384,2.392705
features.3.0.attn.qkv,576,192,82,0.427083,0.042776,0.146006,192,1.544711
features.3.0.attn.proj,192,192,93,0.484375,0.021965,0.112089,192,1.822836
features.3.0.mlp.0,768,192,134,0.697917,0.020382,0.095822,192,1.568185
features.3.0.mlp.3,192,768,110,0.572917,0.020238,0.111312,768,2.211476
features.3.1.attn.qkv,576,192,102,0.531250,0.033691,0.127053,192,1.531953
features.3.1.attn.proj,192,192,98,0.510417,0.031130,0.126858,192,1.773362
features.3.1.mlp.0,768,192,129,0.671875,0.026960,0.144310,192,1.403175
features.3.1.mlp.3,192,768,94,0.489583,0.034876,0.106451,768,2.136283
features.4.reduction,384,768,183,0.476562,0.017675,0.085868,768,2.299375
features.5.0.attn.qkv,1152,384,137,0.356771,0.032771,0.123760,384,1.913755
features.5.0.attn.proj,384,384,171,0.445312,0.015931,0.094116,384,2.177785
features.5.0.mlp.0,1536,384,218,0.567708,0.030455,0.147102,384,1.794450
features.5.0.mlp.3,384,1536,234,0.609375,0.015131,0.096101,1536,2.294421
features.5.1.attn.qkv,1152,384,181,0.471354,0.025179,0.105242,384,1.680333
features.5.1.attn.proj,384,384,165,0.429688,0.015838,0.102011,384,2.189545
features.5.1.mlp.0,1536,384,245,0.638021,0.025874,0.138726,384,1.563576
features.5.1.mlp.3,384,1536,244,0.635417,0.015091,0.094231,1536,2.318913
features.5.2.attn.qkv,1152,384,202,0.526042,0.019985,0.100158,384,1.643689
features.5.2.attn.proj,384,384,175,0.455729,0.018698,0.108277,384,2.148349
features.5.2.mlp.0,1536,384,245,0.638021,0.028126,0.152181,384,1.540908
features.5.2.mlp.3,384,1536,248,0.645833,0.016185,0.095927,1536,2.329251
features.5.3.attn.qkv,1152,384,204,0.531250,0.024356,0.106359,384,1.591270
features.5.3.attn.proj,384,384,175,0.455729,0.019684,0.109170,384,2.121203
features.5.3.mlp.0,1536,384,245,0.638021,0.031618,0.157014,384,1.537394
features.5.3.mlp.3,384,1536,247,0.643229,0.024271,0.097099,1536,2.349969
features.5.4.attn.qkv,1152,384,220,0.572917,0.023676,0.108118,384,1.584124
features.5.4.attn.proj,384,384,198,0.515625,0.017775,0.090901,384,2.048455
features.5.4.mlp.0,1536,384,241,0.627604,0.035495,0.159756,384,1.590886
features.5.4.mlp.3,384,1536,244,0.635417,0.034355,0.126992,1536,2.361895
features.5.5.attn.qkv,1152,384,219,0.570312,0.025079,0.104610,384,1.623186
features.5.5.attn.proj,384,384,196,0.510417,0.017275,0.079979,384,2.060117
features.5.5.mlp.0,1536,384,238,0.619792,0.082101,0.070009,384,1.603977
features.5.5.mlp.3,384,1536,232,0.604167,0.020456,0.109988,1536,2.374595
features.6.reduction,768,1536,298,0.388021,0.066668,0.049859,1536,2.479485
features.7.0.attn.qkv,2304,768,251,0.326823,0.019208,0.097394,768,1.857643
features.7.0.attn.proj,768,768,394,0.513021,0.030700,0.046561,768,1.943539
features.7.0.mlp.0,3072,768,411,0.535156,0.108827,0.319758,768,1.601537
features.7.0.mlp.3,768,3072,527,0.686198,0.034542,0.088870,3072,1.691215
features.7.1.attn.qkv,2304,768,450,0.585938,0.017770,0.095844,768,1.564056
features.7.1.attn.proj,768,768,403,0.524740,0.115607,0.039991,768,1.876754
features.7.1.mlp.0,3072,768,503,0.654948,0.070837,0.263849,768,1.457141
features.7.1.mlp.3,768,3072,541,0.704427,0.136270,0.048330,3072,1.752603
head,1000,768,534,0.695312,0.012195,0.096040,768,1.659538
