layer,rows,cols,significant_rank,significant_rank_ratio,rank1_energy,mean_cos_svd_resultant,group_input_dim,reconstruction_ratio
features.0,64,27,8,0.296296,0.251737,0.355885,,
features.2,64,576,31,0.484375,0.104567,0.180593,576,1.584230
features.5,128,576,58,0.453125,0.054577,0.133771,576,1.464445
features.7,128,1152,80,0.625000,0.036507,0.107747,1152,1.624290
features.10,256,1152,131,0.511719,0.030667,0.136506,1152,1.553978
features.12,256,2304,160,0.625000,0.034554,0.162907,2304,1.854610
features.14,256,2304,169,0.660156,0.046231,0.200857,2304,1.889012
features.17,512,2304,273,0.533203,0.025396,0.136665,2304,1.800208
features.19,512,4608,330,0.644531,0.035961,0.172206,4608,2.074999
features.21,512,4608,343,0.669922,0.060277,0.233131,4608,2.105077
features.24,512,4608,336,0.656250,0.025115,0.139909,4608,2.094794
features.26,512,4608,329,0.642578,0.043263,0.189879,4608,2.038979
features.28,512,4608,319,0.623047,0.080116,0.261649,4608,2.006329
classifier.0,4096,25088,2521,0.615479,0.011730,0.098255,,
classifier.3,4096,4096,1541,0.376221,0.029759,0.162820,4096,1.299999
classifier.6,1000,4096,544,0.544000,0.038841,0.175239,4096,1.364986
